epoch,solarRadiationHigh,winddirAvg,humidityAvg,metric.tempAvg,metric.windspeedAvg,metric.windgustHigh,metric.dewptAvg,metric.pressureMin,metric.precipTotal
1698548400,,292.0,96.0,-4.4,17.7,27.4,-5.0,995.63,0.0
1698548700,,292.0,96.0,-4.4,12.9,29.0,-4.9,995.94,0.0
1698549000,,292.0,96.0,-4.3,9.7,22.5,-4.9,996.04,0.0
1698549300,,292.0,96.0,-4.3,9.7,22.5,-4.8,996.28,0.0
1698549600,,292.0,96.0,-4.3,17.7,41.8,-4.8,996.0,0.0
1698549900,,292.0,96.0,-4.2,16.1,30.6,-4.8,995.94,0.0
1698550200,,292.0,96.0,-4.3,12.9,27.4,-4.8,996.04,0.0
1698550500,,292.0,96.0,-4.3,6.4,14.5,-4.8,996.28,0.0
1698550800,,292.0,96.0,-4.3,11.3,24.1,-4.8,995.97,0.0
1698551100,,292.0,96.0,-4.3,12.9,24.1,-4.8,996.17,0.0
1698551400,,292.0,96.0,-4.2,11.3,22.5,-4.8,995.87,0.0
1698551700,,292.0,96.0,-4.2,14.5,29.0,-4.8,996.04,0.0
1698552000,,292.0,96.0,-4.2,11.3,20.9,-4.7,996.28,0.0
1698552300,,292.0,96.0,-4.2,17.7,48.3,-4.7,996.34,0.0
1698552600,,292.0,96.0,-4.2,27.4,49.9,-4.8,995.94,0.0
1698552900,,292.0,96.0,-4.2,16.1,29.0,-4.8,996.44,0.0
1698553200,,292.0,96.0,-4.2,19.3,32.2,-4.8,996.48,0.0
1698553500,,292.0,96.0,-4.2,12.9,29.0,-4.8,996.68,0.0
1698553800,,292.0,96.0,-4.2,20.9,37.0,-4.8,996.72,0.0
1698554100,,292.0,96.0,-4.2,11.3,24.1,-4.8,996.95,0.0
1698554400,,292.0,96.0,-4.2,12.9,25.7,-4.8,996.61,0.0
1698554700,,292.0,96.0,-4.2,11.3,25.7,-4.7,996.48,0.0
1698555000,,292.0,96.0,-4.2,6.4,17.7,-4.7,996.41,0.0
1698555300,,292.0,96.0,-4.2,11.3,25.7,-4.7,996.65,0.0
1698555600,,292.0,96.0,-4.1,9.7,19.3,-4.7,996.68,0.0
1698555900,,292.0,96.0,-4.1,8.0,17.7,-4.7,996.41,0.0
1698556200,,292.0,96.0,-4.2,6.4,17.7,-4.7,996.48,0.0
1698556500,,292.0,96.0,-4.1,9.7,19.3,-4.7,996.75,0.0
1698556800,,292.0,96.0,-4.2,16.1,32.2,-4.7,996.72,0.0
1698557100,,292.0,96.0,-4.2,17.7,32.2,-4.7,996.31,0.0
1698557400,,292.0,96.0,-4.1,14.5,32.2,-4.7,996.34,0.0
1698557700,,292.0,96.0,-4.1,12.9,24.1,-4.7,996.58,0.0
1698558000,,292.0,96.0,-4.1,4.8,16.1,-4.7,996.68,0.0
1698558300,,292.0,96.0,-4.1,11.3,25.7,-4.7,996.75,0.0
1698558600,,292.0,96.0,-4.1,14.5,25.7,-4.7,996.51,0.0
1698558900,,292.0,96.0,-4.1,12.9,27.4,-4.6,996.85,0.0
1698559200,,292.0,96.0,-4.1,12.9,22.5,-4.6,996.75,0.0
1698559500,,292.0,96.0,-4.1,17.7,32.2,-4.6,996.55,0.0
1698559800,,292.0,96.0,-4.1,6.4,20.9,-4.6,996.85,0.0
1698560100,,292.0,96.0,-4.1,8.0,17.7,-4.6,996.95,0.0
1698560400,,292.0,96.0,-4.1,4.8,17.7,-4.6,996.89,0.0
1698560700,,292.0,96.0,-4.1,3.2,12.9,-4.6,996.99,0.0
1698561000,,292.0,96.0,-4.0,4.8,11.3,-4.6,997.22,0.0
1698561300,,292.0,96.0,-4.0,9.7,14.5,-4.6,997.36,0.0
1698561600,,292.0,96.0,-4.1,14.5,25.7,-4.6,996.92,0.0
1698561900,,292.0,96.0,-4.1,16.1,32.2,-4.6,996.92,0.0
1698562200,,292.0,96.0,-4.1,11.3,24.1,-4.7,997.05,0.0
1698562500,,292.0,96.0,-4.1,19.3,32.2,-4.7,996.38,0.0
1698562800,,292.0,96.0,-4.2,16.1,38.6,-4.7,996.31,0.0
1698563100,,292.0,96.0,-4.2,16.1,35.4,-4.8,996.31,0.0
1698563400,,292.0,96.0,-4.2,8.0,17.7,-4.8,996.61,0.0
1698563700,,292.0,96.0,-4.2,6.4,16.1,-4.8,996.85,0.0
1698564000,,292.0,96.0,-4.3,11.3,20.9,-4.8,996.65,0.0
1698564300,,292.0,96.0,-4.2,11.3,20.9,-4.8,996.55,0.0
1698564600,,292.0,96.0,-4.2,9.7,24.1,-4.7,996.55,0.0
1698564900,,292.0,96.0,-4.2,6.4,20.9,-4.8,996.51,0.0
1698565200,,292.0,96.0,-4.2,4.8,19.3,-4.8,996.55,0.0
1698565500,,292.0,96.0,-4.2,6.4,14.5,-4.8,996.41,0.0
1698565800,,292.0,96.0,-4.2,8.0,17.7,-4.8,996.55,0.0
1698566100,,292.0,96.0,-4.2,12.9,30.6,-4.7,996.17,0.0
1698566400,,292.0,96.0,-4.2,12.9,30.6,-4.7,996.28,0.0
1698566700,,292.0,96.0,-4.2,11.3,32.2,-4.8,996.41,0.0
1698567000,,292.0,96.0,-4.2,8.0,16.1,-4.7,996.75,0.0
1698567300,,292.0,96.0,-4.2,11.3,24.1,-4.8,996.82,0.0
1698567600,,292.0,96.0,-4.2,6.4,19.3,-4.8,996.75,0.0
1698567900,,292.0,96.0,-4.2,8.0,16.1,-4.8,996.68,0.0
1698568200,,292.0,96.0,-4.2,11.3,20.9,-4.7,996.51,0.0
1698568500,,292.0,96.0,-4.2,6.4,17.7,-4.8,996.95,0.0
1698568800,,292.0,96.0,-4.2,8.0,16.1,-4.8,997.16,0.0
1698569100,,292.0,96.0,-4.2,11.3,24.1,-4.8,996.78,0.0
1698569400,,292.0,96.0,-4.3,9.7,25.7,-4.8,996.78,0.0
1698569700,,292.0,96.0,-4.3,4.8,16.1,-4.8,996.85,0.0
1698570000,,292.0,96.0,-4.3,9.7,19.3,-4.9,996.72,0.0
1698570300,,292.0,96.0,-4.4,11.3,27.4,-4.9,997.05,0.0
1698570600,,292.0,96.0,-4.4,14.5,27.4,-4.9,997.36,0.0
1698570900,,292.0,96.0,-4.4,6.4,14.5,-4.9,997.19,0.0
1698571200,,292.0,96.0,-4.4,9.7,14.5,-5.0,997.46,0.0
1698571500,,292.0,96.0,-4.4,3.2,11.3,-4.9,997.63,0.0
1698571800,,292.0,96.0,-4.4,4.8,12.9,-5.0,997.43,0.0
1698572100,,292.0,96.0,-4.4,8.0,20.9,-5.0,997.8,0.0
1698572400,,292.0,96.0,-4.5,4.8,12.9,-5.1,998.0,0.0
1698572700,,292.0,96.0,-4.6,3.2,4.8,-5.1,998.07,0.0
1698573000,,292.0,96.0,-4.6,8.0,14.5,-5.1,998.07,0.0
