2025-01-01,7.19
2025-01-02,4.27
2025-01-03,4.55
2025-01-04,7.66
2025-01-05,5.78
2025-01-06,5.47
2025-01-07,8.02
2025-01-08,4.19
2025-01-09,9.46
2025-01-10,7.36
2025-01-11,6.06
2025-01-12,7.66
2025-01-13,7.59
2025-01-14,7.57
2025-01-15,6.66
2025-01-16,7.45
2025-01-17,5.64
2025-01-18,4.71
2025-01-19,6.28
2025-01-20,5.56
2025-01-21,7.54
2025-01-22,6.67
2025-01-23,4.41
2025-01-24,9.06
2025-01-25,8.06
2025-01-26,7.26
2025-01-27,10.08
2025-01-28,6.25
2025-01-29,6.00
2025-01-30,8.32
2025-01-31,12.07
2025-02-01,7.17
2025-02-02,9.15
2025-02-03,7.18
2025-02-04,7.20
2025-02-05,8.03
2025-02-06,9.02
2025-02-07,5.19
2025-02-08,9.83
2025-02-09,7.91
2025-02-10,14.84
2025-02-11,8.59
2025-02-12,6.10
2025-02-13,5.12
2025-02-14,7.54
2025-02-15,7.96
2025-02-16,6.72
2025-02-17,8.44
2025-02-18,6.34
2025-02-19,5.45
2025-02-20,4.56
2025-02-21,7.38
2025-02-22,6.45
2025-02-23,5.02
2025-02-24,8.51
2025-02-25,9.27
2025-02-26,6.70
2025-02-27,8.71
2025-02-28,6.23
2025-03-01,4.58
2025-03-02,9.23
2025-03-03,4.79
2025-03-04,10.25
2025-03-05,5.83
2025-03-06,7.46
2025-03-07,7.12
2025-03-08,6.92
2025-03-09,5.95
2025-03-10,11.36
2025-03-11,5.98
2025-03-12,5.83
2025-03-13,6.30
2025-03-14,7.18
2025-03-15,6.56
2025-03-16,4.09
2025-03-17,8.47
2025-03-18,7.49
2025-03-19,7.95
2025-03-20,4.68
2025-03-21,8.44
2025-03-22,8.25
2025-03-23,4.79
2025-03-24,6.43
2025-03-25,5.03
2025-03-26,8.27
2025-03-27,6.58
2025-03-28,3.88
2025-03-29,8.11
2025-03-30,11.84
2025-03-31,8.28
2025-04-01,8.04
2025-04-02,9.21
2025-04-03,10.71
2025-04-04,6.05
2025-04-05,7.85
2025-04-06,5.63
2025-04-07,5.95
2025-04-08,9.37
2025-04-09,11.75
2025-04-10,8.40
2025-04-11,4.35
2025-04-12,6.51
2025-04-13,7.02
2025-04-14,5.42
2025-04-15,4.51
2025-04-16,4.71
2025-04-17,8.02
2025-04-18,8.63
2025-04-19,3.99
2025-04-20,9.07
2025-04-21,5.86
2025-04-22,6.92
2025-04-23,7.50
2025-04-24,5.35
2025-04-25,10.80
2025-04-26,10.97
2025-04-27,9.87
2025-04-28,7.29
2025-04-29,3.33
2025-04-30,4.33
2025-05-01,5.23
2025-05-02,10.09
2025-05-03,6.32
2025-05-04,6.38
2025-05-05,7.22
2025-05-06,7.61
2025-05-07,6.55
2025-05-08,7.15
2025-05-09,9.01
2025-05-10,6.58
2025-05-11,5.27
2025-05-12,5.70
2025-05-13,5.02
2025-05-14,6.29
2025-05-15,6.80
2025-05-16,6.08
2025-05-17,13.56
2025-05-18,12.26
2025-05-19,8.86
2025-05-20,8.03
2025-05-21,4.11
2025-05-22,5.18
2025-05-23,7.68
2025-05-24,6.84
2025-05-25,7.45
2025-05-26,9.24
2025-05-27,8.86
2025-05-28,6.81
2025-05-29,7.29
2025-05-30,10.41
2025-05-31,8.49
2025-06-01,7.02
2025-06-02,5.33
2025-06-03,6.60
2025-06-04,10.63
2025-06-05,9.60
2025-06-06,4.44
2025-06-07,2.24
2025-06-08,4.49
2025-06-09,2.65
2025-06-10,3.53
2025-06-11,8.21
2025-06-12,11.40
2025-06-13,8.02
2025-06-14,7.69
2025-06-15,8.38
2025-06-16,7.20
2025-06-17,7.11
2025-06-18,7.23
2025-06-19,8.77
2025-06-20,5.59
2025-06-21,7.70
2025-06-22,14.88
2025-06-23,8.93
2025-06-24,11.23
2025-06-25,12.56
2025-06-26,10.24
2025-06-27,8.39
2025-06-28,10.73
2025-06-29,7.69
2025-06-30,4.68
2025-07-01,3.89
2025-07-02,6.48
2025-07-03,5.77
2025-07-04,3.97
2025-07-05,6.27
2025-07-06,6.86
2025-07-07,4.11
2025-07-08,8.37
2025-07-09,5.49
2025-07-10,7.13
2025-07-11,7.04
2025-07-12,8.36
2025-07-13,6.24
2025-07-14,5.32
2025-07-15,8.77
2025-07-16,9.17
2025-07-17,9.39
2025-07-18,11.30
2025-07-19,6.56
2025-07-20,4.40
2025-07-21,4.10
2025-07-22,4.94
2025-07-23,8.03
2025-07-24,6.52
2025-07-25,11.33
2025-07-26,4.07
2025-07-27,5.24
2025-07-28,8.85
2025-07-29,4.88
2025-07-30,6.96
2025-07-31,6.46
2025-08-01,3.16
2025-08-02,5.63
2025-08-03,7.72
2025-08-04,5.63
2025-08-05,7.38
2025-08-06,5.04
2025-08-07,4.75
2025-08-08,5.66
2025-08-09,7.82
2025-08-10,5.92
2025-08-11,4.51
2025-08-12,9.45
2025-08-13,5.70
